index escape_code
3023, '\u0bcf'length=1 END
3025, '\u0bd1' START
3030, '\u0bd6'length=5 END
3032, '\u0bd8' START
3045, '\u0be5'length=13 END
3067, '\u0bfb' START
3071, '\u0bff'length=4 END
3085, '\u0c0d' START
3085, '\u0c0d'length=0 END
3089, '\u0c11' START
3089, '\u0c11'length=0 END
3113, '\u0c29' START
3113, '\u0c29'length=0 END
3130, '\u0c3a' START
3132, '\u0c3c'length=2 END
3141, '\u0c45' START
3141, '\u0c45'length=0 END
3145, '\u0c49' START
3145, '\u0c49'length=0 END
3150, '\u0c4e' START
3156, '\u0c54'length=6 END
3159, '\u0c57' START
3159, '\u0c57'length=0 END
3163, '\u0c5b' START
3167, '\u0c5f'length=4 END
3172, '\u0c64' START
3173, '\u0c65'length=1 END
3184, '\u0c70' START
3190, '\u0c76'length=6 END
3213, '\u0c8d' START
3213, '\u0c8d'length=0 END
3217, '\u0c91' START
3217, '\u0c91'length=0 END
3241, '\u0ca9' START
3241, '\u0ca9'length=0 END
3252, '\u0cb4' START
3252, '\u0cb4'length=0 END
3258, '\u0cba' START
3259, '\u0cbb'length=1 END
3269, '\u0cc5' START
3269, '\u0cc5'length=0 END
3273, '\u0cc9' START
3273, '\u0cc9'length=0 END
3278, '\u0cce' START
3284, '\u0cd4'length=6 END
3287, '\u0cd7' START
3293, '\u0cdd'length=6 END
3295, '\u0cdf' START
3295, '\u0cdf'length=0 END
3300, '\u0ce4' START
3301, '\u0ce5'length=1 END
3312, '\u0cf0' START
3312, '\u0cf0'length=0 END
3315, '\u0cf3' START
3327, '\u0cff'length=12 END
3341, '\u0d0d' START
3341, '\u0d0d'length=0 END
3345, '\u0d11' START
3345, '\u0d11'length=0 END
3397, '\u0d45' START
3397, '\u0d45'length=0 END
3401, '\u0d49' START
3401, '\u0d49'length=0 END
3408, '\u0d50' START
3411, '\u0d53'length=3 END
3428, '\u0d64' START
3429, '\u0d65'length=1 END
3456, '\u0d80' START
3456, '\u0d80'length=0 END
3460, '\u0d84' START
3460, '\u0d84'length=0 END
3479, '\u0d97' START
3481, '\u0d99'length=2 END
3506, '\u0db2' START
3506, '\u0db2'length=0 END
3516, '\u0dbc' START
3516, '\u0dbc'length=0 END
3518, '\u0dbe' START
3519, '\u0dbf'length=1 END
3527, '\u0dc7' START
3529, '\u0dc9'length=2 END
3531, '\u0dcb' START
3534, '\u0dce'length=3 END
3541, '\u0dd5' START
3541, '\u0dd5'length=0 END
3543, '\u0dd7' START
3543, '\u0dd7'length=0 END
3552, '\u0de0' START
3557, '\u0de5'length=5 END
3568, '\u0df0' START
3569, '\u0df1'length=1 END
3573, '\u0df5' START
3584, '\u0e00'length=11 END
3643, '\u0e3b' START
3646, '\u0e3e'length=3 END
3676, '\u0e5c' START
3712, '\u0e80'length=36 END
3715, '\u0e83' START
3715, '\u0e83'length=0 END
3717, '\u0e85' START
3717, '\u0e85'length=0 END
3723, '\u0e8b' START
3723, '\u0e8b'length=0 END
3748, '\u0ea4' START
3748, '\u0ea4'length=0 END
3750, '\u0ea6' START
3750, '\u0ea6'length=0 END
3774, '\u0ebe' START
3775, '\u0ebf'length=1 END
3781, '\u0ec5' START
3781, '\u0ec5'length=0 END
3783, '\u0ec7' START
3783, '\u0ec7'length=0 END
3790, '\u0ece' START
3791, '\u0ecf'length=1 END
3802, '\u0eda' START
3803, '\u0edb'length=1 END
3808, '\u0ee0' START
3839, '\u0eff'length=31 END
3912, '\u0f48' START
